epoch,A_sync,B_persist,C_snap_persist
1,21.6736,47.1662,18.0532
2,24.7293,15.7213,22.4915
3,22.0138,18.5911,50.8834
4,17.1930,24.4680,42.0143
5,21.0696,21.2486,26.7178
6,18.7299,31.6284,24.2378
7,19.0294,18.2465,36.2119
8,16.9953,24.4219,40.2363
9,14.9180,26.3461,31.3726
10,15.5803,27.2780,25.6457
11,16.0886,26.3260,19.7076
12,14.6632,22.8163,26.1492
13,13.2532,20.5886,19.1409
14,12.9148,20.0314,19.0911
15,13.0443,26.8194,19.7389
16,16.9797,20.2610,22.8526
17,16.2652,17.7294,27.4454
18,25.7609,20.3425,19.3099
19,21.7815,29.1274,20.0509
20,16.2005,25.7202,21.9124
21,42.2760,29.4540,22.0393
22,46.1956,29.6836,22.6568
23,32.3977,21.4035,21.3857
24,19.1863,21.5877,20.9808
25,16.1512,20.8472,34.0705
26,26.1176,22.6238,44.6076
27,19.0018,32.4090,24.9493
28,15.9291,22.9087,44.7489
29,14.6498,33.1536,30.2500
30,17.6386,25.8854,25.7009
31,18.0990,21.9723,42.0790
32,16.0695,24.5106,24.0326
33,18.5817,21.7176,102.1554
34,26.8834,20.7675,14.1877
35,23.5093,25.5020,15.8617
36,34.7963,28.1574,17.3384
37,48.1884,26.4925,16.4936
38,32.8600,34.6757,18.4505
39,36.7488,33.0736,18.0281
40,18.5996,37.4182,15.4877
41,28.9825,26.6370,15.1900
42,37.8412,35.6170,15.6631
43,59.3329,41.4106,18.2278
44,37.5262,31.5273,20.4764
45,26.8268,28.5997,23.8448
46,26.3166,25.3180,21.8379
47,31.3742,29.9424,30.1040
48,20.3083,18.2313,20.6643
49,27.8539,20.2259,18.8986
50,25.2306,23.6466,19.1417
51,23.2964,24.7844,18.8114
52,72.7962,32.3991,19.5738
53,101.8275,23.1235,25.8061
54,29.1583,23.3252,23.0030
55,38.0844,40.5270,18.3492
56,27.1404,22.9669,18.9059
57,23.7834,26.5538,20.1218
58,30.1542,31.9041,21.6681
59,31.0520,22.0235,23.7177
60,23.7602,18.5970,22.0984
61,29.4046,17.1077,22.1931
62,26.4950,31.1474,20.2008
63,48.6534,19.7805,25.1455
64,28.2284,29.8369,19.6516
65,25.6527,18.8712,17.9265
66,30.9864,42.5999,27.7079
67,21.3605,28.3004,39.8244
68,16.3179,27.8313,33.2030
69,18.5990,22.7700,45.9968
70,21.0411,34.4914,33.2080
71,22.5575,27.4099,51.0480
72,24.6716,26.9811,51.6026
73,23.8204,24.9569,23.1816
74,19.1245,38.8702,23.4269
75,18.0768,34.3135,23.0373
76,23.4216,27.2706,22.4754
77,19.8077,28.7570,17.3488
78,16.3496,27.9426,20.6007
79,16.9617,31.0986,23.5868
80,18.0793,30.4371,20.8467
81,15.9755,29.2332,21.2997
82,17.2747,27.5644,19.5403
83,15.2815,39.0122,18.2995
84,18.0099,31.9611,18.2890
85,19.4190,41.3593,19.5067
86,21.6950,34.9613,20.3809
87,18.6519,39.6059,20.6481
88,19.5651,46.0884,25.4812
89,23.4965,51.3081,21.9929
90,19.5487,42.6848,18.4435
91,19.9960,35.2978,22.1573
92,21.5443,45.6288,19.4141
93,18.9348,36.9286,21.1377
94,29.1450,26.2554,22.0139
95,3793.3181,34.2344,20.9292
96,16.8225,30.2787,21.9482
97,25.7345,28.3622,18.3412
98,29.4710,32.7017,19.6137
99,84.9205,26.5884,24.4387
100,43.0985,29.1469,20.0183
